Level 0 URI,Level 0 preferred term,Level 1 URI,Level 1 preferred term,Level 2 URI,Level 2 preferred term,Level 3 URI,Level 3 preferred term,Description,Scope note,Level 0 code,Level 1 code,Level 2 code,Level 3 code
http://data.europa.eu/esco/skill/S,vaardigheden,http://data.europa.eu/esco/skill/S1,"communicatie, samenwerking en creativiteit",http://data.europa.eu/esco/skill/S1.4,presenteren van informatie,http://data.europa.eu/esco/skill/S1.4.3,presenteren van informatie in gerechtelijke procedures,"Testifying, presenting evidence or representing clients during legal proceedings.","Examples:
- Present evidence
- Represent clients in court",S,S1,S1.4,S1.4.3
http://data.europa.eu/esco/skill/S,vaardigheden,http://data.europa.eu/esco/skill/S1,"communicatie, samenwerking en creativiteit",http://data.europa.eu/esco/skill/S1.5,adviseren en overleggen,,,"Providing guidance and advice to enable decision-making about tasks, situations, and processes.","Excludes:
- Psychological, behavioural and social counselling; see S3.1.1",S,S1,S1.5
http://data.europa.eu/esco/skill/S,vaardigheden,http://data.europa.eu/esco/skill/S1,"communicatie, samenwerking en creativiteit",http://data.europa.eu/esco/skill/S1.5,adviseren en overleggen,http://data.europa.eu/esco/skill/S1.5.0,adviseren en overleggen,"Providing guidance and advice to enable decision-making about tasks, situations, and processes.","Excludes:
- Psychological, behavioural and social counselling; see S3.1.1",S,S1,S1.5,S1.5.0
http://data.europa.eu/esco/skill/S,vaardigheden,http://data.europa.eu/esco/skill/S1,"communicatie, samenwerking en creativiteit",http://data.europa.eu/esco/skill/S1.5,adviseren en overleggen,http://data.europa.eu/esco/skill/S1.5.1,"adviseren over juridische zaken, wet- en regelgeving en procedurele aangelegenheden","Discussing legal matters with clients, disputants, or legal professionals or staff. Explaining and providing advice to others on legal matters, regulations, policies or procedures.","Examples:
- Advise on social service process
- Provide legal advice",S,S1,S1.5,S1.5.1
http://data.europa.eu/esco/skill/S,vaardigheden,http://data.europa.eu/esco/skill/S1,"communicatie, samenwerking en creativiteit",http://data.europa.eu/esco/skill/S1.5,adviseren en overleggen,http://data.europa.eu/esco/skill/S1.5.2,verstrekken van financieel advies,Explaining financial information and providing financial advice.,"Examples:
- Advise on investment
- Explain financial technicalities to clients",S,S1,S1.5,S1.5.2
http://data.europa.eu/esco/skill/S,vaardigheden,http://data.europa.eu/esco/skill/S1,"communicatie, samenwerking en creativiteit",http://data.europa.eu/esco/skill/S1.5,adviseren en overleggen,http://data.europa.eu/esco/skill/S1.5.3,adviseren over producten en diensten,Advising others on products or services explaining technical details.,"Examples:
- Advise customers on new equipment
- Provide advice on travel destinations",S,S1,S1.5,S1.5.3
http://data.europa.eu/esco/skill/S,vaardigheden,http://data.europa.eu/esco/skill/S1,"communicatie, samenwerking en creativiteit",http://data.europa.eu/esco/skill/S1.5,adviseren en overleggen,http://data.europa.eu/esco/skill/S1.5.4,verstrekken van medisch advies,"Explaining medical and healthcare information to patients or family members and/or advising them on medical, health or wellness issues.","Includes:
- Providing advice on animal health

Examples:
- Advise on rehabilitation exercises
- Advise on medical device features
- Offer advice on diet related concerns
- Explain the molecular basis of a disease to patients",S,S1,S1.5,S1.5.4
http://data.europa.eu/esco/skill/S,vaardigheden,http://data.europa.eu/esco/skill/S1,"communicatie, samenwerking en creativiteit",http://data.europa.eu/esco/skill/S1.5,adviseren en overleggen,http://data.europa.eu/esco/skill/S1.5.5,adviseren over milieukwesties,Providing information and advice on environmental protection and sustainability.,"Examples:
- Advise on environmental remediation
- Advise on pollution prevention",S,S1,S1.5,S1.5.5
http://data.europa.eu/esco/skill/S,vaardigheden,http://data.europa.eu/esco/skill/S1,"communicatie, samenwerking en creativiteit",http://data.europa.eu/esco/skill/S1.5,adviseren en overleggen,http://data.europa.eu/esco/skill/S1.5.6,adviseren over ontwerp en gebruik van technologieën,"Providing information and advice on technological possibilities, developments and on the uses of technology.","Examples:
- Advise client on technical possibilities
- Provide ICT consulting advice",S,S1,S1.5,S1.5.6
http://data.europa.eu/esco/skill/S,vaardigheden,http://data.europa.eu/esco/skill/S1,"communicatie, samenwerking en creativiteit",http://data.europa.eu/esco/skill/S1.5,adviseren en overleggen,http://data.europa.eu/esco/skill/S1.5.7,adviseren over zakelijke of operationele aangelegenheden,Providing information and advice to improve the efficiency of production and business operations.,"Examples:
- Advise on efficiency improvements
- Advise on personnel management
- Advise on waste management procedures",S,S1,S1.5,S1.5.7
http://data.europa.eu/esco/skill/S,vaardigheden,http://data.europa.eu/esco/skill/S1,"communicatie, samenwerking en creativiteit",http://data.europa.eu/esco/skill/S1.5,adviseren en overleggen,http://data.europa.eu/esco/skill/S1.5.8,adviseren over educatieve kwesties en kwesties op het gebied van beroepsonderwijs,"Providing information, advice and guidance on educational and training courses, teaching and learning methods, careers or job search.","Includes:
- Managing own career

Examples:
- Advise on career
- Advise lesson plans
- Advise on training 
- Provide assistance with job search",S,S1,S1.5,S1.5.8
http://data.europa.eu/esco/skill/S,vaardigheden,http://data.europa.eu/esco/skill/S1,"communicatie, samenwerking en creativiteit",http://data.europa.eu/esco/skill/S1.5,adviseren en overleggen,http://data.europa.eu/esco/skill/S1.5.9,adviseren over kwesties op het gebied van gezondheid en veiligheid op het werk,Promoting and providing information and advice on health and safety in the workplace.,"Examples:
- Advise on safety improvements
- Inform on safety standards",S,S1,S1.5,S1.5.9
